model,precision,recall
SVM_RBF,0.5271966527196653,1.0
SVM_RBF,0.5279329608938548,1.0
SVM_RBF,0.5286713286713287,1.0
SVM_RBF,0.5294117647058824,1.0
SVM_RBF,0.5301542776998598,1.0
SVM_RBF,0.5308988764044944,1.0
SVM_RBF,0.5316455696202531,1.0
SVM_RBF,0.532394366197183,1.0
SVM_RBF,0.5331452750352609,1.0
SVM_RBF,0.5338983050847458,1.0
SVM_RBF,0.5346534653465347,1.0
SVM_RBF,0.5354107648725213,1.0
SVM_RBF,0.5361702127659574,1.0
SVM_RBF,0.5369318181818182,1.0
SVM_RBF,0.5376955903271693,1.0
SVM_RBF,0.5384615384615384,1.0
SVM_RBF,0.5392296718972895,1.0
SVM_RBF,0.54,1.0
SVM_RBF,0.5407725321888412,1.0
SVM_RBF,0.5415472779369628,1.0
SVM_RBF,0.5423242467718795,1.0
SVM_RBF,0.5431034482758621,1.0
SVM_RBF,0.543884892086331,1.0
SVM_RBF,0.5446685878962536,1.0
SVM_RBF,0.5454545454545454,1.0
SVM_RBF,0.546242774566474,1.0
SVM_RBF,0.5470332850940666,1.0
SVM_RBF,0.5478260869565217,1.0
SVM_RBF,0.548621190130624,1.0
SVM_RBF,0.5494186046511628,1.0
SVM_RBF,0.5502183406113537,1.0
SVM_RBF,0.5510204081632653,1.0
SVM_RBF,0.5518248175182482,1.0
SVM_RBF,0.5526315789473685,1.0
SVM_RBF,0.5534407027818448,1.0
SVM_RBF,0.5542521994134897,1.0
SVM_RBF,0.5550660792951542,1.0
SVM_RBF,0.5558823529411765,1.0
SVM_RBF,0.5567010309278351,1.0
SVM_RBF,0.5575221238938053,1.0
SVM_RBF,0.5583456425406204,1.0
SVM_RBF,0.5591715976331361,1.0
SVM_RBF,0.56,1.0
SVM_RBF,0.5608308605341247,1.0
SVM_RBF,0.5616641901931649,1.0
SVM_RBF,0.5625,1.0
SVM_RBF,0.563338301043219,1.0
SVM_RBF,0.564179104477612,1.0
SVM_RBF,0.5650224215246636,1.0
SVM_RBF,0.5658682634730539,1.0
SVM_RBF,0.5667166416791605,1.0
SVM_RBF,0.5675675675675675,1.0
SVM_RBF,0.5684210526315789,1.0
SVM_RBF,0.5692771084337349,1.0
SVM_RBF,0.5701357466063348,1.0
SVM_RBF,0.5709969788519638,1.0
SVM_RBF,0.5718608169440242,1.0
SVM_RBF,0.5727272727272728,1.0
SVM_RBF,0.5735963581183612,1.0
SVM_RBF,0.574468085106383,1.0
SVM_RBF,0.5753424657534246,1.0
SVM_RBF,0.5762195121951219,1.0
SVM_RBF,0.5770992366412214,1.0
SVM_RBF,0.5779816513761468,1.0
SVM_RBF,0.5788667687595712,1.0
SVM_RBF,0.5797546012269938,1.0
SVM_RBF,0.5806451612903226,1.0
SVM_RBF,0.5815384615384616,1.0
SVM_RBF,0.5824345146379045,1.0
SVM_RBF,0.5833333333333334,1.0
SVM_RBF,0.5842349304482226,1.0
